127.0.0.1 - - [15/Jun/2018:10:05:33 +0900] "GET / HTTP/1.1" 404 1019
127.0.0.1 - - [15/Jun/2018:10:05:35 +0900] "GET /sample-web/ HTTP/1.1" 200 667
127.0.0.1 - - [15/Jun/2018:10:05:35 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:10:05:35 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:10:05:37 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2495
127.0.0.1 - - [15/Jun/2018:10:05:37 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:10:05:37 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:10:05:37 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
127.0.0.1 - - [15/Jun/2018:10:13:05 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4436
127.0.0.1 - - [15/Jun/2018:10:13:05 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
127.0.0.1 - - [15/Jun/2018:10:13:14 +0900] "POST /sample-web/LoginAction.action HTTP/1.1" 200 2619
127.0.0.1 - - [15/Jun/2018:10:13:14 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
127.0.0.1 - - [15/Jun/2018:10:13:24 +0900] "POST /sample-web/LogoutAction HTTP/1.1" 200 667
127.0.0.1 - - [15/Jun/2018:10:13:25 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2495
127.0.0.1 - - [15/Jun/2018:10:13:25 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:10:13:25 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:10:13:25 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
127.0.0.1 - - [15/Jun/2018:10:27:05 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2495
127.0.0.1 - - [15/Jun/2018:10:27:05 +0900] "GET /sample-web/css/style.css HTTP/1.1" 200 8255
127.0.0.1 - - [15/Jun/2018:10:27:05 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
127.0.0.1 - - [15/Jun/2018:10:27:13 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2495
127.0.0.1 - - [15/Jun/2018:10:27:13 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:10:27:13 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
127.0.0.1 - - [15/Jun/2018:10:27:35 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2495
127.0.0.1 - - [15/Jun/2018:10:27:35 +0900] "GET /sample-web/css/style.css HTTP/1.1" 200 8254
127.0.0.1 - - [15/Jun/2018:10:27:35 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
127.0.0.1 - - [15/Jun/2018:10:27:42 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2495
127.0.0.1 - - [15/Jun/2018:10:27:42 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:10:27:42 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
127.0.0.1 - - [15/Jun/2018:10:27:46 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4436
127.0.0.1 - - [15/Jun/2018:10:27:46 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:10:27:46 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
127.0.0.1 - - [15/Jun/2018:10:28:31 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2750
127.0.0.1 - - [15/Jun/2018:10:28:31 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
